path,target,final_link2007,final_link2024,distance2007,distance2024
Malawi;Democracy;Alexander_the_Great,First_Crusade,Alexander_the_Great,Alexander_the_Great,0,0
Paraguay;Bolivia,Mount_St._Helens,Bolivia,Bolivia,0,0
Agriculture;History_of_the_world;China;Yangtze_River,Grand_Canal_of_China,Yangtze_River,,0,-1
Mind;Christianity;Europe;Renaissance;Ancient_Greece;Afghanistan;Asia,Scouting,Asia,Asia,0,0
4-2-0;United_States;Agriculture;Sugar;Australia,Cane_Toad,Australia,Australia,0,0
Logic;Computer_science;Science;Physical_science;Astronomy;Astrology;Moon;Apollo_11;Neil_Armstrong,Moon_landing,Apollo_11,,1,-1
Battle_of_Gettysburg;Washington%2C_D.C.;United_Kingdom;English_language;United_States;Turkey_%28bird%29;Animal,Ostrich,Animal,Animal,0,0
Saint_Kitts_and_Nevis;United_Kingdom;World_War_II;United_States;Baseball,Sandy_Koufax,Baseball,,0,-1
Ape;Asia;Computer;Automobile,Tin,Automobile,Automobile,0,0
Symmetry;Science;Age_of_Enlightenment;Dark_Ages;United_Kingdom;Christianity,Scottish_Episcopal_Church,Christianity,Christianity,0,0
Tasmanian_Devil;Dog;Postage_stamp;Wood,Love,Wood,,0,-1
Flute;Slovenia;NATO;United_Kingdom;England;William_Shakespeare;Actor;Film,Obi-Wan_Kenobi,Film,Film,0,0
Bean;Peanut;United_States;World_War_I,Oil_painting,World_War_I,World_War_I,0,0
Tim_Berners-Lee;England;Atlantic_Ocean;United_States;Pacific_Ocean;Volcano,Volcanic_pipe,Volcano,Volcano,0,0
Potato;Europe;North_America;<;<,Rugby_football,Potato,Potato,0,0
Ape;English_language;England;<,J._K._Rowling,English_language,English_language,0,0
The_Shawshank_Redemption;English_language;European_Union;Russia;<;Russia,Lake_Vostok,Russia,Russia,0,0
Second_Congo_War;World_War_II;United_Kingdom;Scotland;Glasgow;<;Outer_Hebrides;<,Loch,United_Kingdom,Scotland,1,0
Velociraptor;BBC,Pride_and_Prejudice,BBC,BBC,0,0
Aircraft;Hydrogen;<;Hydrogen;Iron;Steel;Metal;Corrosion,Recycling,Corrosion,,0,-1
Three_Laws_of_Robotics;Religion;Christianity;Jesus;Last_Supper;Wine,Bread,Wine,Wine,0,0
Semiconductor;Computer;Great_Britain;Climate;Ocean,Guinea,Ocean,Ocean,0,0
Edward_Jenner;England;Cricket;Australia,Donald_Bradman,Australia,Australia,0,0
The_Legend_of_Zelda_series;Comics,Banana,Comics,Comics,0,0
California;Mexico;Nahuatl_language,Black-backed_Jackal,Nahuatl_language,Nahuatl_language,0,0
Elias_Ashmole;Astrology;Moon;Solar_eclipse,Archaeoastronomy,Solar_eclipse,,0,-1
History;Anthropology;Age_of_Enlightenment;Aesthetics;Confucius,Flamingo,Confucius,Confucius,0,0
Nematode;Animal;Fungus;Human;AIDS;Cancer,Edema,Cancer,Cancer,0,0
The_Fairy-Queen;London;British_House_of_Commons;Parliament_of_the_United_Kingdom;Constitutional_monarchy,Parliamentary_system,Constitutional_monarchy,,0,-1
Monarchies_in_the_European_Union;Politics;Anarcho-capitalism,Minimum_wage,Anarcho-capitalism,Anarcho-capitalism,0,0
Fish;Vertebrate;Human;Music,Tupac_Shakur,Music,Music,0,0
Fish;Vertebrate;Human;Africa,Tupac_Shakur,Africa,Africa,0,0
John_Marshall;United_States;North_America;Continent;Asia;Bangladesh;<;Bangladesh,Sheikh_Mujibur_Rahman,Bangladesh,Bangladesh,0,0
African_American_literature;American_Civil_War;Abraham_Lincoln;President_of_the_United_States;United_States;Supreme_Court_of_the_United_States,Waste_management,Supreme_Court_of_the_United_States,Supreme_Court_of_the_United_States,0,0
United_States_dollar;United_States;Judaism;Christianity;Roman_Catholic_Church,Opus_Dei,Roman_Catholic_Church,,0,-1
1st_century;20th_century;Mass_media;Animation;Motion_%28physics%29,Pac-Man,Motion_%28physics%29,,0,-1
Dill;Middle_Ages;Ottoman_Empire;Romania;World_Heritage_Site,New_moon,World_Heritage_Site,World_Heritage_Site,0,0
Internet;United_States;Cinema_of_the_United_States;The_Godfather,Forrest_Gump,The_Godfather,Cinema_of_the_United_States,0,1
Amur;China;Human;Science;World_Wide_Web;Internet;North_America;California;Computer;<;United_States;Terrorism;<;<,Phishing,California,,0,-1
Thomas_Jefferson;Atlantic_slave_trade;United_States;Film;Animation,Gazelle,Animation,Animation,0,0
Perfect_number;Euclid;Greece,Mark_Twain_House,Greece,Greece,0,0
Ant;Scientific_classification;Bacteria;Virus;Smallpox;United_States;Medicine;Biology;Virus;Ottoman_Empire;Yemen;Middle_East,H5N1,Middle_East,,0,-1
Malaria;Protein;Human;Architecture;Industrial_Revolution;Agriculture;Milk,Louis_Pasteur,Milk,,0,-1
Adolf_Hitler;Germany;Berlin;Football_%28soccer%29;Japan;Electronics;Computer;History_of_computing_hardware;<;Computer_and_video_games;Nintendo_Entertainment_System;<;Nintendo_DS;<;Television,Commodore_64,Television,Television,0,0
Florida;United_States;Puerto_Rico;<,Music_of_Hawaii,United_States,United_States,0,0
Swastika;Adolf_Hitler;The_Holocaust,Stroke,The_Holocaust,The_Holocaust,0,0
Roman_Catholic_Church;Crusades;Byzantine_Empire,United_Arab_Emirates,Byzantine_Empire,Byzantine_Empire,0,0
Blue_Peter;BBC;United_Kingdom;Christianity,Henry_Ford,Christianity,Christianity,0,0
Plant_cell;Protein;Genetic_code;Francis_Crick;Physics;19th_century;Vincent_van_Gogh;Expressionism;<;Impressionism;Turkey;<;Germany;<;<;Expressionism;<;<;<;<,Leonardo_da_Vinci,Francis_Crick,Francis_Crick,0,0
Snow;Finland;European_Union;Italy;Rome;<;Ancient_Rome;Architecture,Roman_villa,Ancient_Rome,Ancient_Rome,1,1
Norfolk;England;Drum_and_bass;Synthesizer;Speech_synthesis;Microsoft_Windows;Microsoft;Computer;Quantum_computer,Computer_science,Quantum_computer,,0,-1
Pikachu;North_America;English_language;England,Tea,England,England,0,0
