path,target,final_link2007,final_link2024,distance2007,distance2024
Billie_Holiday;United_States;World_War_II;Nazi_Germany,Nazism,World_War_II,,1,-1
Manchester_United_F.C.;England;Atlantic_Ocean;United_States;Cinema_of_the_United_States;Star_Wars_Episode_IV__A_New_Hope;Film;Actor;The_Simpsons,Harry_Potter,The_Simpsons,The_Simpsons,0,0
Space_Race;United_States;Corporation,Tobacco,Corporation,Corporation,0,0
Sea_of_Galilee;Jesus;Christianity;Byzantine_Empire;Sun_Tzu;China;People%27s_Republic_of_China,Yellow_fever,People%27s_Republic_of_China,People%27s_Republic_of_China,0,0
Charles_Darwin;Psychology;19th_century;North_America;Florida,Gas_metal_arc_welding,Florida,Florida,0,0
Europe;Ancient_Greece;Aristotle;Mathematics;Euclid;<;Raphael,Archimedes,Raphael,,0,-1
Top_of_the_Pops;Kurt_Cobain;United_States;Film;Silent_film;Sunset_Boulevard_%281950_film%29;Bette_Davis;Vivien_Leigh;Gone_with_the_Wind_%28film%29;American_Civil_War;West_Virginia;U.S._state;United_States;Washington%2C_D.C.;U.S._state;United_States;West_Virginia;American_Civil_War;United_States;Film;Silent_film;Sunset_Boulevard_%281950_film%29;Drama;Film;<;Actor;Film;<;The_Simpsons;North_America,The_Shawshank_Redemption,North_America,North_America,0,0
Sugar_beet;United_States;Internet;<;Pacific_Ocean;Japan;Electronics,Nintendo_Entertainment_System,Electronics,Electronics,0,0
President_of_the_United_States;Boeing_747;Concorde;Titanium,Force,Titanium,Titanium,0,0
Redwing;Europe;Middle_East;Israel;Yom_Kippur_War;Pakistan;Russia;Communism;World_War_I;<;World_War_I;War;Weapon;Iraq;Baghdad;Iraq_War;Terrorism;Nationalism;<;War;Revolution;Cold_War;Invasion_of_Grenada;Soviet_Union;Afghanistan,AK-47,Yom_Kippur_War,,16,-1
Star_Wars;Europe,George_II_of_Great_Britain,Europe,Europe,0,0
Canada_Goose;Goose;Bird;Emu;Ostrich;Africa;Continent;North_America;Caribbean_Sea;Sea;Ocean;Seawater;Baltic_Sea;Mediterranean_Sea;Atlantic_Ocean;Ocean;Earth;Universe;Metric_expansion_of_space;Nature;Galaxy;Plasma_%28physics%29;Electron;Electric_charge;Quark;Matter;Energy;Aristotle;Logic;Computer_science;Information;<;Programming_language;Algorithm,Marcel_Lefebvre,Algorithm,Algorithm,0,0
George_Washington;United_States;Film;21st_century;<;20th_century;<;20th_century;Physics;Force;<;Black_hole;Galaxy;<;California;Film;<;Arnold_Schwarzenegger,Star_Wars,Arnold_Schwarzenegger,Arnold_Schwarzenegger,0,0
Jurassic;North_America;Caribbean_Sea;Jamaica;<;<;Saint_Lucia;Tourism,Reggae,Tourism,,0,-1
Ice;Earth%27s_atmosphere;Evolution,Linux,Evolution,Evolution,0,0
Population_history_of_American_indigenous_peoples;Gunpowder;Steel,Space_Shuttle_Challenger,Steel,Steel,0,0
Economics;United_Kingdom;Cricket;Australia;Melbourne;<,Tasmanian_Devil,Australia,Australia,0,0
Southern_United_States;Temperate;North_America;Canada;Beaver,Canada_Goose,Beaver,Beaver,0,0
Argyle_diamond_mine;Australia;James_Cook;England;United_Kingdom;<;Norfolk;<;History_of_Anglo-Saxon_England,Oswald_of_Northumbria,History_of_Anglo-Saxon_England,,0,-1
Prion;Animal;Mammal,Ethiopian_Wolf,Mammal,Mammal,0,0
Mekong;Spain,South_America,Spain,Spain,0,0
I_Want_to_Hold_Your_Hand;United_Kingdom,William_I_of_England,United_Kingdom,United_Kingdom,0,0
Golden_Gate_Highlands_National_Park;Southern_Africa;Vanadium;Chemical_element,Parsnip,Chemical_element,Chemical_element,0,0
Wright_brothers;Leonardo_da_Vinci;London;England;<;Anglicanism,Sutton_Hoo,Anglicanism,Anglicanism,0,0
Paul_Kane;Toronto;American_Revolutionary_War,Boundary_Waters_Canoe_Area_Wilderness,American_Revolutionary_War,American_Revolutionary_War,0,0
The_Ashes;Australia;English_language;United_States;New_York_City;Dallas%2C_Texas;United_States;California;Mexico;<,University_of_Chicago,California,California,0,0
Lake_Superior;North_America;United_States,Cormorant,United_States,United_States,0,0
Paul_of_Tarsus;Last_Supper;Archaeology;Geography;<;<;<;Jesus;Roman_Empire,Fiji,Roman_Empire,Roman_Empire,0,0
The_Broads;England;Linguistics;Language;Biology;Cell_%28biology%29;Human;Brain;Eye;Protein;Genetic_code;Natural_selection,Tooth_development,Natural_selection,Natural_selection,0,0
Chew_Valley;England;Europe;Italy;Bologna,War_of_the_League_of_Cambrai,Bologna,Bologna,0,0
Battle_of_Midway;Solomon_Islands,Rama,Solomon_Islands,Solomon_Islands,0,0
Gallium;Semiconductor;Electric_field;Michael_Faraday;England;Christianity,Thomas_Aquinas,Christianity,,0,-1
Mount_Baker;Mount_St._Helens;Seattle%2C_Washington,History_of_nuclear_weapons,Seattle%2C_Washington,Seattle%2C_Washington,0,0
Great_Black-backed_Gull;North_America;Earth;Cambrian_explosion;North_America;Earth;Moon;<;Universe;Big_Bang;<;<;Solar_System;Planet;<;<,History_of_Earth,Cambrian_explosion,,2,-1
2-6-0;4-4-0;<;United_States;Petroleum;Global_warming;Greenhouse_effect;<;Fossil_fuel;Wood;<;<;<;Carbon;Buckminster_Fuller,Recycling,Buckminster_Fuller,Buckminster_Fuller,0,0
2-6-0;United_States;Nuclear_power;Jimmy_Carter;<;<;<;4-4-0;North_America;Pacific_Ocean;Plate_tectonics;Energy;Electricity;Industry;Pollution;Global_warming;Climate_change,Recycling,Climate_change,,0,-1
Nazi_Germany;United_States;Mexico;Latin_America;Haiti;<;<;<;North_America;Earth;Volcano;Mount_Vesuvius;Tsunami;1755_Lisbon_earthquake,Natural_disaster,1755_Lisbon_earthquake,,0,-1
Statue_of_Zeus_at_Olympia;Greece,Mona_Lisa,Greece,Greece,0,0
Jordan_River;Arabic_language;Latin_alphabet,Elementary_algebra,Latin_alphabet,Latin_alphabet,0,0
British_English;England;FIFA_World_Cup;American_football;United_States;Moon;Apollo_11;Moon_landing;20th_century;Film;DVD,Blade_Runner,DVD,,0,-1
Eurasian_Collared_Dove;California;United_States,History_of_New_Jersey,United_States,United_States,0,0
Halloween;Maize;Soybean;Palm_oil;Biodiesel;Biofuel,Corn_oil,Biofuel,Maize,0,4
Beijing;China;Civilization,Khazars,Civilization,Civilization,0,0
Dakar;Portugal;People%27s_Republic_of_China;List_of_countries_by_system_of_government;United_States,Music_of_Hawaii,United_States,United_States,0,0
Polish-Lithuanian_Commonwealth;Russia;Volcano;Decade_Volcanoes;Koryaksky;<;<,Avacha_Volcano,Volcano,Volcano,0,0
Peace;World_War_II;Cold_War;<;Jet_engine;<;<;United_States;North_America;Earth;Moon;Apollo_11;Saturn_V;Space_Race;Sputnik_1,Spacecraft_propulsion,Sputnik_1,Space_Race,0,1
Fractal;Georg_Cantor;Switzerland;<;United_Kingdom;Europe;Africa;Southern_Africa,Bison,Southern_Africa,Southern_Africa,0,0
Basking_shark;Florida;United_States;United_States_Constitution;Government;Democracy;Ancient_Greece;<;Ancient_Greece;<;<;John_Locke;<;Thomas_Jefferson;<;Socialism;<;Democracy,History_of_democracy,Democracy,,0,-1
The_Rite_of_Spring;Paris;Mona_Lisa;Sigmund_Freud;Eye;Human;Genetics;<;<;Organism;Human;<;<;Human;Family;<;Brain;<;<;Brain;Biology;Organism;Bacteria;Pollinator;Flower;Seed;Mammal;<;<;<;<;<;Genetics;DNA;Eukaryote;Animal,Menstrual_cycle,Animal,Animal,0,0
Olympic_Games;World_War_II;Nuclear_weapon;Nuclear_fission;<;<;<;World_War_II;The_Holocaust,DNA,The_Holocaust,The_Holocaust,0,0
Manifold;Group_%28mathematics%29;<;Euclid;19th_century;20th_century;United_States;Martin_Luther_King%2C_Jr.;Voting,Suffrage,Voting,,0,-1
Cave;United_States;Battle_of_Gettysburg,Force,Battle_of_Gettysburg,Battle_of_Gettysburg,0,0
Virtuti_Militari;Italy;<;United_States;Mexico;<;Las_Vegas%2C_Nevada;<;Los_Angeles%2C_California;<;<;United_States;Manifest_Destiny;Rocky_Mountains;Missouri_River;<;Salt_Lake_City%2C_Utah,History_of_Arizona,Salt_Lake_City%2C_Utah,Salt_Lake_City%2C_Utah,0,0
Scrooge_McDuck;India;<;English_language;India;Rice;Africa;<;<;Africa;<;Wheat;Protein;Potassium;Vegetable;Vitamin;B_vitamins;<;B_vitamins;<;Vitamin_C;<;<;Bean;Vicia_faba;Plant;<;<;Vicia_faba;Binomial_nomenclature;<;Carolus_Linnaeus;<;Scientific_classification;<;Fruit;<;<;<;Botany;Fruit;Black_pepper,Long_pepper,Black_pepper,,0,-1
Black_pepper;Fruit;Botany,Long_peper,Botany,Botany,0,0
Super_Mario_Bros.;United_States;Maize;Protein;Lipid,Fatty_acid,Lipid,,0,-1
William_Shakespeare;England;City;Automobile;Hydrogen;Metallurgy;Steel;Sheffield,Gas_metal_arc_welding,Sheffield,Sheffield,0,0
Sistine_Chapel_ceiling;Michelangelo;Rome;World_War_II;The_Holocaust;Communism;Socialism;Anarchism;Political_philosophy;Democracy;Liberal_democracy;Liberalism;Anarcho-capitalism,Cat_Stevens,Anarcho-capitalism,Anarcho-capitalism,0,0
Aardvark;Europe,Bluetooth,Europe,Europe,0,0
The_Anarchy;Matilda_of_Boulogne;Stephen_of_England;Oxford,Coventry,Oxford,Oxford,0,0
Epic_of_Gilgamesh;Babylonia;Mesopotamia;Barley;Cereal;Maize;Vegetable;Nutrition;<;<;<;<;<,Corn_oil,Mesopotamia,Mesopotamia,0,0
55_Cancri;Earth;United_Nations;United_States,Hudson_Bay,United_States,United_States,0,0
Eurasian_Collared_Dove;Europe,Mentha,Europe,Europe,0,0
Bull_shark;India;Plate_tectonics;<;Hinduism;God;United_States;Latin;<;Hip_hop_music;Reggaeton;Britney_Spears,Dance,Britney_Spears,Britney_Spears,0,0
Dandelion;United_Kingdom;United_Nations,Ben_Nevis,United_Kingdom,,1,-1
Azerbaijan;World_War_I;British_Empire;Europe;European_Union;English_language,Interpol,Azerbaijan,English_language,5,0
Folk_music;German_language;Switzerland;United_States;United_States_Bill_of_Rights;<,Suffrage,United_States,United_States,0,0
Cretaceous;Jurassic;United_States;Yellowstone_National_Park;Craters_of_the_Moon_National_Monument_and_Preserve;Cave,Zion_National_Park,Cave,,0,-1
Stephen_Harper;Toronto;American_Revolutionary_War;Gibraltar,Brute_force_attack,Gibraltar,Gibraltar,0,0
Cape_Canaveral;United_States,Mount_Pinatubo,United_States,United_States,0,0
Pete_Sampras;Radio;Broadcasting;Internet,Homestar_Runner,Internet,Internet,0,0
Minoan_civilization;Harvest;Cereal;Barley,Alcohol,Barley,Barley,0,0
Western_Sahara;French_language;Europe;Republic_of_Ireland,Irish_people,Republic_of_Ireland,,0,-1
Weapon;World_War_II;Soviet_Union;Russia,Dmitri_Mendeleev,Russia,Russia,0,0
Fine_art;Philosophy;Biology;Genetics;<;Virus,Tuberculosis,Virus,Virus,0,0
Soviet_Union;Europe;Turkey;<,Domesticated_turkey,Europe,Europe,0,0
English_poetry;Renaissance;Science;Physics;Archimedes;Isaac_Newton,Measurement,Isaac_Newton,Science,0,3
Oslo;Capital;South_Africa;Ladysmith_Black_Mambazo,Reggae,Ladysmith_Black_Mambazo,Ladysmith_Black_Mambazo,0,0
Khan_Wali_Khan;Pakistan;Indus_River;Economy_of_Pakistan;China,Fishing,China,China,0,0
Acetone;Bacteria;Plant;Flower;<;Flower,Borage,Flower,Flower,0,0
Logistics;Arthur_Wellesley%2C_1st_Duke_of_Wellington,Watercolor_painting,Arthur_Wellesley%2C_1st_Duke_of_Wellington,Arthur_Wellesley%2C_1st_Duke_of_Wellington,0,0
Cormorant;Great_Britain;United_Kingdom,Nauru,United_Kingdom,United_Kingdom,0,0
Lake_Baikal;North_America;California;Los_Angeles%2C_California;Television;Internet;<;<;<,Jyllands-Posten_Muhammad_cartoons_controversy,California,California,0,0
Netherlands;Bicycle;Tour_de_France,Measurement,Tour_de_France,Tour_de_France,0,0
Haiti;United_States;North_America;Continent;Earth;Asteroid;Dinosaur;Ornithischia;Ceratopsidae;<;Herbivore;<;<,Pachycephalosaurus,Dinosaur,Dinosaur,0,0
Philosophy;Politics;Government;<;Europe,European_Parliament,Europe,Europe,0,0
Albatross;Antarctica;Ice_sheet;Ice_age;Sea_level_rise;Global_warming,Polar_ice_cap,Global_warming,Global_warming,0,0
Mathematical_analysis;Mathematics;Economics;Employment;Trade_union;<;Capitalism;Money;Government;<;Euro;Germany;Europe,Minimum_wage,Europe,,0,-1
Bird_of_prey;Kite_%28bird%29;Red_Kite;Europe;Asia;Egypt;Cairo;Mosque;India,Essential_oil,India,India,0,0
History_of_Central_Asia;People%27s_Republic_of_China;Russia;Norway;Europe;<;England;London;London_Underground;<;London_Bridge;<;Palace_of_Westminster;Tower_of_London;London_Zoo;<;<;<;<,London_sewerage_system,England,England,0,0
War;Religion;Christianity;Roman_Catholic_Church;<;Atheism;<;Eastern_Orthodox_Church;<;Anglican_Communion;Church_of_England;<;<;Jew;<;Roman_Catholic_Church;<,Mormon,Christianity,Christianity,0,0
India;United_Nations;<;United_States;Cinema_of_the_United_States;Drama;Television;Broadcasting,Star_Trek__The_Original_Series,Broadcasting,Broadcasting,0,0
Rainhill_Trials;BBC;United_Kingdom;England;<;Latin;Ancient_Rome;Claudius;<;<;<;English_language;United_States;Abraham_Lincoln;American_Civil_War;Slavery,Third_Servile_War,Slavery,,0,-1
Eyelid;Eye;Sleep;United_States;Computer;Automobile;<;Telephone;Telecommunication;Bluetooth;<;Internet;Music,ITunes,Music,Music,0,0
Sport;American_English;United_States;Moon;Earth;Solar_System;Mars;Mars_Reconnaissance_Orbiter;Mars_Exploration_Rover;<;<;Phoenix_%28spacecraft%29;Mars_Reconnaissance_Orbiter;<;<,Exploration_of_Mars,Mars,,0,-1
Beer;Ancient_Egypt;Society;Business;Economics,Political_economy,Economics,,0,-1
Sesame_Street;Country;United_States;Canada;<;<;<,Canada_Goose,Sesame_Street,Sesame_Street,0,0
Yorkshire_Dales;England;United_Kingdom;NATO,Uganda,NATO,,0,-1
Menstrual_cycle;Mammal;Human;Government;Democracy;United_States_Bill_of_Rights;United_States_Constitution;President_of_the_United_States,History_of_democracy,President_of_the_United_States,,0,-1
Thomas_Hobbes;History;Human;Technology;Steel;Metal;Hydrogen;Metallurgy;Metal;Steel;Bridge;Industrial_Revolution;Manufacturing,Gas_metal_arc_welding,Manufacturing,Manufacturing,0,0
Mongoose;United_States;Household_income_in_the_United_States;Poverty;Employment;Business;Trade_union;<;Money;<;Economics;Supply_and_demand;<;<;Economics;Finance,Minimum_wage,Finance,,0,-1
Silicon;Periodic_table;<;Chemical_element;Atom;Nuclear_fission;Uranium;Nuclear_power;Nuclear_fission;Electromagnetic_radiation;Electron,Marie_Curie,Electron,Chemical_element,0,7
George_VI_of_the_United_Kingdom;President_of_the_United_States;George_Washington,Election,George_Washington,George_Washington,0,0
Agriculture;Fossil_fuel;Natural_gas;Saudi_Arabia,CS_gas,Saudi_Arabia,Saudi_Arabia,0,0
Antwerp;Oil_refinery;Saudi_Arabia;Qatar;Natural_gas;Petroleum;North_Sea;Baltic_Sea;<;<;United_States;<,1973_oil_crisis,Petroleum,Saudi_Arabia,0,3
Green_Woodpecker;Europe;Christianity;Jesus;Trinity;Roman_Catholic_Church;<,Trinity_test,Trinity,Trinity,0,0
Barbados;Sugarcane;Sugar;Biology;Anatomy;Human;Carnivore;Tyrannosaurus;Fossil_record;Paleontology;Fossil;Mineral;Calcium;Mohs_scale_of_mineral_hardness;Mineral;Biology;Cell_%28biology%29;Bacteria;Pneumonia;Health;Medicine;Anatomy;Vertebrate;Human;Brain;Cerebellum;Vertebrate,Tooth_development,Vertebrate,Vertebrate,0,0
Dog;Vegetable;Plant;Photosynthesis;Oxygen;Ozone;Earth%27s_atmosphere,Planetary_habitability,Earth%27s_atmosphere,Earth%27s_atmosphere,0,0
Hubble_Deep_Field;Earth;Weather;Tropical_cyclone,Hurricane_Charley,Tropical_cyclone,Tropical_cyclone,0,0
Wombat;Poetry,Gettysburg_Address,Poetry,Poetry,0,0
Water_purification;Drought;Irrigation;Salt;Edible_salt,Great_Salt_Lake,Edible_salt,Edible_salt,0,0
Tamarind;Latin_America,Northern_Ireland,Latin_America,Latin_America,0,0
Sonic_the_Hedgehog_%28character%29;Theodore_Roosevelt;Franklin_D._Roosevelt;John_Maynard_Keynes;Economics;Political_economy;<;Capitalism;Market;<;Political_economy;Political_science;Statistics,Social_capital,Statistics,,0,-1
Ivory;Elephant,Whooping_Crane,Elephant,Elephant,0,0
J._K._Rowling;England,Hippopotamus,England,England,0,0
Thomas_Aquinas;Italy,International_human_rights_instruments,Italy,Italy,0,0
Chew_Valley_Lake;England;Germany,Johannes_Kepler,Germany,Germany,0,0
Vanadium;Jet_engine;World_War_II;United_States;Moon;Apollo_11;<;Space_station;<;Neil_Armstrong,Space_suit,Neil_Armstrong,Neil_Armstrong,0,0
Scattered_disc;Neptune;Earth;Geography,Mount_Pinatubo,Geography,Geography,0,0
Ordinal_number;Georg_Cantor,Nurse_sharks,Georg_Cantor,Georg_Cantor,0,0
Comoros;Islam;Charles_V%2C_Holy_Roman_Emperor;Henry_VIII_of_England;Mary_I_of_England;Spain;Constitutional_monarchy;Sport;China;Human;Love;Family;Religion;Isaac_Newton;Physics;Science;Biology;Animal,Gender,Animal,,0,-1
Gerald_Ford;Richard_Nixon;Lyndon_B._Johnson,The_Beatles,Lyndon_B._Johnson,Lyndon_B._Johnson,0,0
John_of_England;France;List_of_countries_by_system_of_government;<;Constitutional_monarchy;French_Revolution;Napoleon_I_of_France;<;Paris;<;Napoleon_I_of_France;<;<;<;Algeria;Algerian_Civil_War;<,Government_of_France,Algeria,,0,-1
Sequoia;Europe,Western_Front_%28World_War_I%29,Europe,Europe,0,0
Owl;Bird;Albatross;Genetics;DNA;Genetic_code;Natural_selection;Nazism;Communism;Vietnam_War;Cold_War;Richard_Nixon;Elvis_Presley;Actor;Film,Forrest_Gump,Film,,0,-1
Mormon;Spanish_language;United_States;Olympic_Games;Sport;<;1896_Summer_Olympics;Australia;United_Kingdom,Water_polo,United_Kingdom,,0,-1
Pigment;Industrial_Revolution;Germany;Otto_von_Bismarck,German_reunification,Germany,,1,-1
Imperative_programming;20th_century;United_States;Yellowstone_National_Park;Animal_rights;Gorilla;Herbivore;Animal,Osprey,Animal,,0,-1
Parliament_of_the_United_Kingdom;United_Kingdom;Isle_of_Man,Latin_America,Isle_of_Man,United_Kingdom,0,1
Musical_instrument;Music,Niccol%C3%B2_Machiavelli,Music,Music,0,0
Extinction;Evolution;Creation-evolution_controversy;Roman_Catholic_Church,Religious_Society_of_Friends,Roman_Catholic_Church,Roman_Catholic_Church,0,0
Triassic;Ichthyosaur,Enzyme_kinetics,Ichthyosaur,Ichthyosaur,0,0
Prostate_cancer;Cancer,Suffrage,Cancer,Cancer,0,0
Khazars;Judaism;Jew;<;<,Myocardial_infarction,Khazars,Khazars,0,0
Trade_union;Margaret_Thatcher;<;California;Film;Actor,Laurence_Olivier,Actor,,0,-1
Calcium_chloride;Earth%27s_atmosphere;Planet;Definition_of_planet;Solar_System;Gravitation;Earth;Biosphere;<;Climate;<;Weather;Cassini-Huygens;<,Planetary_habitability,Weather,,0,-1
Bangladesh;India,Giganotosaurus,India,India,0,0
Reptile;New_Zealand;Europe;France;List_of_countries_by_system_of_government;<;European_Union,Government_of_France,European_Union,,0,-1
Graphic_novel;World_War_II,Binoculars,World_War_II,World_War_II,0,0
Sauroposeidon;England,Nineteen_Eighty-Four,England,England,0,0
Cotton;Cameroon;<;Senegal;<;Mali;<;Mexico,AK-47,Mexico,Mexico,0,0
A_cappella;The_Beatles;Manchester;England,Plains_Zebra,England,England,0,0
French_language;NATO;Japan;World_War_II;Nuclear_weapon;Cold_War;<;War;<,Effects_of_nuclear_explosions,Nuclear_weapon,,0,-1
Guadeloupe;Spain;France,Whooping_Crane,France,France,0,0
Cuckmere_Haven;Brighton,Archaeoastronomy,Brighton,Brighton,0,0
Nationalism;Human,Tuberculosis,Human,Human,0,0
Measurement;Statistics;<,Krazy_Kat,Measurement,Measurement,0,0
Martinique;French_language;Roman_Empire,Hundred_Years%27_War,Roman_Empire,Roman_Empire,0,0
Katana;Japan;Time_zone,Clock,Time_zone,,0,-1
Howland_Island;United_States;Florida;<;<;Cat;Carnivore;<;<;Baker_Island;<,Crocodile,Howland_Island,Howland_Island,0,0
Hamburg;United_States;Cinema_of_the_United_States;21st_century;Blade_Runner;Cinema_of_the_United_States;Los_Angeles%2C_California;Film,Batman,Film,Film,0,0
September_11%2C_2001_attacks;United_States,Social_capital,United_States,United_States,0,0
Tuna;Oxygen;Ozone;Earth%27s_atmosphere;<,Uranus,Ozone,Ozone,0,0
Roman_Britain;Great_Britain;<;Germany;World_War_I;United_States;Cinema_of_the_United_States;Jane_Fonda;<;Henry_Fonda;<;Bette_Davis;<;James_Stewart_%28actor%29;<;Drama;<,Scooby-Doo,Cinema_of_the_United_States,Cinema_of_the_United_States,0,0
Montenegro;Middle_Ages;<;Serbia,Carnivore,Serbia,Serbia,0,0
Wellington;Europe;Syria;<;Germany;Frankfurt;<;<;Rainforest,Borage,Rainforest,Rainforest,0,0
Timbuktu;Desert;Rain;Ocean;Atlantic_Ocean,Basking_shark,Atlantic_Ocean,Atlantic_Ocean,0,0
Tuvalu;Europe;<;Agriculture,Wild_cat,Agriculture,Agriculture,0,0
Retina;Brain;<;Dog;Ammonia;<;<;Diabetes_mellitus;Acetone;Ethanol,Menthol,Ethanol,Acetone,0,1
Calculus;Physics;<;Physical_science;Climate,Lemon,Climate,Climate,0,0
Mars;Earth;North_America;<;Human;Christianity;<;Culture;Christianity;Jesus;<;Paul_of_Tarsus,A_Christmas_Carol,Paul_of_Tarsus,Paul_of_Tarsus,0,0
